stream_id,time_end,time_recorded,reading_type,temp_max,temp_avg,temp_min
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 4:15:00,2022-04-18 4:26:30,temperature,17.7,17.600002,17.5
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 4:30:00,2022-04-18 4:36:18,temperature,26.9,26.686665,26.5
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 4:30:00,2022-04-18 4:38:32,temperature,17.8,17.74,17.6
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 4:45:00,2022-04-18 4:51:21,temperature,27,26.966667,26.9
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 4:45:00,2022-04-18 4:57:23,temperature,17.8,17.673336,17.6
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 5:00:00,2022-04-18 5:02:20,temperature,27,26.899996,26.8
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 5:00:00,2022-04-18 5:06:06,temperature,17.6,17.499998,17.4
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 5:15:00,2022-04-18 5:21:00,temperature,27,26.72,26.3
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 5:15:00,2022-04-18 5:23:32,temperature,17.4,17.313334,17.2
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 5:30:00,2022-04-18 5:36:49,temperature,26.2,26.026665,25.8
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 5:30:00,2022-04-18 5:44:33,temperature,17.2,17.066668,16.9
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 5:45:00,2022-04-18 5:59:53,temperature,25.7,25.386667,25
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 5:45:00,2022-04-18 5:58:32,temperature,16.9,16.840002,16.7
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 6:00:00,2022-04-18 6:07:22,temperature,24.9,24.460001,24.1
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 6:00:00,2022-04-18 6:07:48,temperature,16.7,16.673334,16.6
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 6:15:00,2022-04-18 6:23:00,temperature,24.1,23.919994,23.8
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 6:15:00,2022-04-18 6:21:50,temperature,16.6,16.600002,16.6
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 6:30:00,2022-04-18 6:34:59,temperature,23.8,23.599998,23.4
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 6:30:00,2022-04-18 6:39:28,temperature,16.5,16.493334,16.4
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 6:45:00,2022-04-18 6:52:39,temperature,23.3,23.179998,22.9
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 6:45:00,2022-04-18 6:57:09,temperature,16.5,16.43333,16.3
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 7:00:00,2022-04-18 7:09:37,temperature,22.9,22.553335,22.2
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 7:00:00,2022-04-18 7:13:14,temperature,16.3,16.246666,16.2
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 7:15:00,2022-04-18 7:25:34,temperature,22.1,21.786665,21.4
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 7:15:00,2022-04-18 7:24:45,temperature,16.2,16.1,16
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 7:30:00,2022-04-18 7:39:24,temperature,21.4,20.873331,20.3
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 7:30:00,2022-04-18 7:39:00,temperature,16,15.966664,15.9
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 7:45:00,2022-04-18 7:56:25,temperature,20.2,19.74,null
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 7:45:00,2022-04-18 7:52:52,temperature,15.9,15.840001,15.8
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 8:00:00,2022-04-18 8:04:14,temperature,19.2,18.92,18.6
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 8:00:00,2022-04-18 8:04:08,temperature,15.8,15.739999,15.7
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 8:15:00,2022-04-18 8:23:16,temperature,18.6,18.286665,18
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 8:15:00,2022-04-18 8:27:59,temperature,15.7,15.5599985,15.4
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 8:30:00,2022-04-18 8:45:50,temperature,18,17.813334,17.6
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 8:30:00,2022-04-18 8:57:08,temperature,15.4,15.193335,15
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 8:45:00,2022-04-18 8:54:57,temperature,17.6,17.486664,17.4
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 8:45:00,2022-04-18 8:57:08,temperature,15,14.800001,14.6
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 9:00:00,2022-04-18 9:13:00,temperature,17.3,17.2,17.1
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 9:00:00,2022-04-18 9:07:25,temperature,14.6,14.38,14.2
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 9:15:00,2022-04-18 9:25:33,temperature,17.1,16.986664,16.9
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 9:15:00,2022-04-18 9:28:24,temperature,14.1,13.993333,13.9
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 9:30:00,2022-04-18 9:37:33,temperature,16.9,16.72,16.6
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 9:30:00,2022-04-18 9:43:16,temperature,14.5,14.393334,14.2
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 9:45:00,2022-04-18 9:54:43,temperature,16.6,16.493332,16.4
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 9:45:00,2022-04-18 9:53:55,temperature,14.8,14.679998,14.5
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 10:00:00,2022-04-18 10:02:18,temperature,16.4,16.28,16.2
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 10:00:00,2022-04-18 10:10:54,temperature,14.8,14.719999,14.6
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 10:15:00,2022-04-18 10:19:50,temperature,16.2,16.086668,16
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 10:15:00,2022-04-18 10:27:06,temperature,14.7,14.626666,14.6
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 10:30:00,2022-04-18 10:36:33,temperature,16,15.913333,15.8
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 10:30:00,2022-04-18 10:44:17,temperature,14.9,14.793332,14.7
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 10:45:00,2022-04-18 10:48:20,temperature,15.8,15.746665,15.7
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 10:45:00,2022-04-18 10:52:46,temperature,14.9,14.873332,14.8
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 11:00:00,2022-04-18 11:03:58,temperature,15.7,15.593335,15.5
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 11:00:00,2022-04-18 11:13:51,temperature,15,14.926666,14.9
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 11:15:00,2022-04-18 11:28:17,temperature,15.5,15.459997,15.4
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 11:15:00,2022-04-18 11:23:11,temperature,15,14.959997,14.9
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 11:30:00,2022-04-18 11:35:21,temperature,15.4,15.293333,15.2
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 11:30:00,2022-04-18 11:55:53,temperature,15,14.919999,14.9
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 11:45:00,2022-04-18 11:49:53,temperature,15.2,15.179999,15.1
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 11:45:00,2022-04-18 11:55:53,temperature,14.9,14.746669,14.5
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 12:00:00,2022-04-18 12:12:21,temperature,15.1,15.046666,15
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 12:00:00,2022-04-18 12:10:30,temperature,14.5,14.439998,14.4
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 12:15:00,2022-04-18 12:26:31,temperature,15,14.926664,14.9
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 12:15:00,2022-04-18 12:24:04,temperature,14.4,14.38,14.3
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 12:30:00,2022-04-18 12:35:10,temperature,14.9,14.833335,14.8
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 12:30:00,2022-04-18 12:39:19,temperature,14.3,14.219998,14.2
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 12:45:00,2022-04-18 12:54:26,temperature,14.8,null,14.7
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 12:45:00,2022-04-18 12:55:28,temperature,14.1,14.066667,14
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 13:00:00,2022-04-18 13:11:05,temperature,14.7,14.646668,14.6
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 13:00:00,2022-04-18 13:08:02,temperature,14,14,14
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 13:15:00,2022-04-18 13:20:16,temperature,14.6,14.533334,14.5
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 13:15:00,2022-04-18 13:25:42,temperature,14,14,14
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 13:30:00,2022-04-18 13:36:47,temperature,14.4,14.366668,14.3
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 13:30:00,2022-04-18 13:36:55,temperature,14,14,14
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 13:45:00,2022-04-18 13:53:26,temperature,14.3,14.266666,14.2
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 13:45:00,2022-04-18 13:57:07,temperature,14,13.953332,13.9
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 14:00:00,2022-04-18 14:13:02,temperature,14.3,14.280002,14.2
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 14:00:00,2022-04-18 14:09:40,temperature,13.9,13.866668,13.8
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 14:15:00,2022-04-18 14:17:52,temperature,14.5,14.3933325,14.3
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 14:15:00,2022-04-18 14:29:29,temperature,13.9,13.866667,13.8
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 14:30:00,2022-04-18 14:42:57,temperature,15,14.786665,14.6
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 14:30:00,2022-04-18 14:45:04,temperature,13.8,13.780001,13.7
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 14:45:00,2022-04-18 14:50:48,temperature,15.5,15.273333,15.1
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 14:45:00,2022-04-18 14:51:20,temperature,13.7,13.660002,13.6
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 15:00:00,2022-04-18 15:03:51,temperature,15.8,15.66,15.5
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 15:00:00,2022-04-18 15:06:10,temperature,13.7,13.620001,13.6
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 15:15:00,2022-04-18 15:17:51,temperature,16.1,15.946668,15.8
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 15:15:00,2022-04-18 15:22:19,temperature,13.6,13.600002,13.6
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 15:30:00,2022-04-18 15:36:22,temperature,16.2,16.173332,16.1
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 15:30:00,2022-04-18 15:42:28,temperature,null,null,13.5
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 15:45:00,2022-04-18 15:56:53,temperature,16.3,16.246668,16.2
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 15:45:00,2022-04-18 15:51:35,temperature,13.6,13.52,13.5
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 16:00:00,2022-04-18 16:05:15,temperature,16.3,16.300001,16.3
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 16:00:00,2022-04-18 16:06:24,temperature,13.5,13.493333,13.4
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 16:15:00,2022-04-18 16:20:57,temperature,16.4,16.359997,16.3
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 16:15:00,2022-04-18 16:28:12,temperature,13.5,13.406665,13.4
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 16:30:00,2022-04-18 16:37:14,temperature,16.5,16.446667,16.4
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 16:30:00,2022-04-18 16:42:53,temperature,13.4,13.306668,13.3
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 16:45:00,2022-04-18 16:55:26,temperature,16.6,16.573336,16.5
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 16:45:00,2022-04-18 16:53:04,temperature,13.3,13.22,13.1
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 17:00:00,2022-04-18 17:07:32,temperature,16.8,16.706667,16.6
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 17:00:00,2022-04-18 17:13:24,temperature,13.1,13.053332,13
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 17:15:00,2022-04-18 17:31:35,temperature,16.8,16.800001,16.8
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 17:15:00,2022-04-18 17:21:13,temperature,13,12.919999,12.8
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 17:30:00,2022-04-18 17:38:09,temperature,16.8,16.800001,16.8
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 17:30:00,2022-04-18 17:46:11,temperature,12.8,12.786668,12.7
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 17:45:00,2022-04-18 17:53:03,temperature,16.8,16.800001,16.8
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 17:45:00,2022-04-18 17:59:27,temperature,null,null,null
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 18:00:00,2022-04-18 18:04:25,temperature,16.8,16.800001,16.8
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 18:00:00,2022-04-18 18:11:59,temperature,12.9,12.859998,12.7
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 18:15:00,2022-04-18 18:25:48,temperature,13,12.939999,12.9
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 18:30:00,2022-04-18 18:33:51,temperature,16.7,16.606668,16.6
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 18:30:00,2022-04-18 18:37:30,temperature,12.8,12.733332,12.7
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 18:45:00,2022-04-18 18:52:52,temperature,16.8,16.713331,16.7
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 18:45:00,2022-04-18 18:56:16,temperature,12.7,12.633334,12.6
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 19:00:00,2022-04-18 19:09:50,temperature,16.8,16.800001,16.8
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 19:00:00,2022-04-18 19:11:25,temperature,12.6,12.566667,12.5
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 19:15:00,2022-04-18 19:23:03,temperature,16.8,16.800001,16.8
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 19:15:00,2022-04-18 19:26:23,temperature,12.5,12.380001,12.3
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 19:30:00,2022-04-18 19:34:29,temperature,16.8,16.800001,16.8
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 19:30:00,2022-04-18 19:35:39,temperature,12.3,12.166667,12
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 19:45:00,2022-04-18 19:54:54,temperature,16.8,16.78,16.7
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 19:45:00,2022-04-18 19:57:14,temperature,12,11.886666,11.8
cdef31ee86f8194fed03a157a45f37e2bdbf785ce3a03126b0d94190d345a414,2022-04-18 20:00:00,2022-04-18 20:05:23,temperature,16.7,16.693333,16.6
ddf00601c23f5a9f107bfccf985dc0b0d8ec7c506a88e3e61ebe809e0ae29c80,2022-04-18 20:00:00,2022-04-18 20:12:35,temperature,11.9,11.733333,11.6
